               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 164,            0.033554,            0.018175,           0.0031521,             0.93495,             0.87552,             0.92042,             0.41393,            0.044917,            0.020981,           0.0032284,            0.004621,            0.004621,            0.004621
                 165,             0.03198,            0.017352,           0.0025125,             0.93985,             0.86472,             0.91159,             0.40536,            0.044052,            0.021286,           0.0035439,            0.004588,            0.004588,            0.004588
                 166,            0.033657,            0.017401,           0.0025498,              0.9035,             0.86816,             0.89898,             0.39494,             0.04465,            0.021423,           0.0038185,            0.004555,            0.004555,            0.004555
                 167,            0.033098,            0.017188,           0.0025463,             0.93235,             0.88083,             0.90924,             0.39515,            0.045336,            0.021271,           0.0030357,            0.004522,            0.004522,            0.004522
                 168,            0.032699,            0.016941,           0.0024119,             0.92723,             0.87974,             0.91438,             0.41082,            0.044364,            0.021519,           0.0028027,            0.004489,            0.004489,            0.004489
                 169,            0.032727,            0.017796,           0.0023609,             0.95117,              0.8769,             0.91349,             0.39522,            0.044639,            0.021381,           0.0021664,            0.004456,            0.004456,            0.004456
                 170,            0.034005,            0.018512,            0.002711,             0.93444,             0.89075,             0.91202,             0.38924,            0.044542,            0.021393,           0.0025879,            0.004423,            0.004423,            0.004423
                 171,            0.032911,            0.017653,           0.0023815,             0.93607,              0.8758,             0.89086,             0.39796,            0.045138,            0.021305,           0.0020645,             0.00439,             0.00439,             0.00439
                 172,            0.032549,            0.016795,           0.0026737,              0.9294,             0.86365,             0.88463,              0.3874,            0.045005,            0.021461,           0.0020779,            0.004357,            0.004357,            0.004357
                 173,            0.031377,            0.017074,           0.0022772,             0.88506,             0.86713,              0.8848,             0.38776,            0.044994,            0.021614,           0.0020481,            0.004324,            0.004324,            0.004324
                 174,             0.03151,            0.017302,           0.0026955,             0.88884,             0.88075,              0.9038,             0.40516,            0.044336,            0.021103,           0.0024277,            0.004291,            0.004291,            0.004291
                 175,            0.033244,            0.017308,           0.0024942,             0.93174,             0.86082,             0.90508,             0.39479,            0.044883,            0.021236,           0.0019283,            0.004258,            0.004258,            0.004258
                 176,            0.033376,            0.017037,           0.0027538,             0.88605,             0.87402,             0.88212,             0.40315,            0.043931,            0.021294,           0.0025677,            0.004225,            0.004225,            0.004225
                 177,            0.032473,            0.017395,           0.0025984,             0.85597,             0.85954,             0.84744,             0.38236,            0.044978,            0.022263,            0.002573,            0.004192,            0.004192,            0.004192
                 178,            0.031983,            0.017084,           0.0027094,             0.92691,             0.81652,             0.85515,              0.3786,            0.045377,            0.022293,           0.0021706,            0.004159,            0.004159,            0.004159
                 179,            0.031473,            0.017458,           0.0021361,              0.9085,             0.82597,             0.85312,             0.37734,            0.045505,            0.021996,           0.0021286,            0.004126,            0.004126,            0.004126
                 180,            0.032454,            0.017858,           0.0025928,               0.911,             0.86229,             0.90479,             0.40477,            0.043939,            0.021301,           0.0020432,            0.004093,            0.004093,            0.004093
                 181,             0.03143,            0.017209,           0.0028033,             0.89667,             0.88759,             0.89522,             0.40211,            0.044565,            0.021557,           0.0024696,             0.00406,             0.00406,             0.00406
                 182,              0.0318,            0.017667,           0.0026115,             0.92844,              0.8948,             0.90708,             0.41938,            0.043442,            0.020943,            0.002219,            0.004027,            0.004027,            0.004027
                 183,            0.031351,            0.016919,           0.0025831,             0.90606,             0.89222,             0.89677,             0.42346,            0.043381,            0.021271,           0.0025719,            0.003994,            0.003994,            0.003994
                 184,            0.031295,            0.016842,           0.0030445,             0.94116,             0.88123,             0.89776,              0.4006,            0.043965,            0.021458,           0.0022713,            0.003961,            0.003961,            0.003961
                 185,            0.031852,            0.017379,           0.0024257,             0.93391,             0.89351,             0.90513,              0.4075,            0.043628,            0.021301,           0.0024879,            0.003928,            0.003928,            0.003928
                 186,            0.030693,            0.017756,           0.0020402,             0.92397,               0.902,             0.88453,             0.40174,            0.044205,            0.021225,            0.002441,            0.003895,            0.003895,            0.003895
                 187,            0.030965,            0.016132,           0.0022118,             0.89329,             0.86243,             0.86797,             0.38287,            0.044857,            0.021343,           0.0025749,            0.003862,            0.003862,            0.003862
                 188,            0.031293,            0.017553,           0.0023402,              0.8984,              0.8828,             0.89366,             0.39033,            0.044299,            0.021175,            0.003022,            0.003829,            0.003829,            0.003829
                 189,            0.030975,            0.016904,           0.0019887,             0.92301,             0.87996,             0.90478,             0.39904,            0.043695,            0.021069,           0.0024506,            0.003796,            0.003796,            0.003796
                 190,            0.031099,            0.016037,           0.0022916,             0.94707,             0.89809,             0.92337,             0.39164,            0.044304,            0.021492,           0.0036293,            0.003763,            0.003763,            0.003763
                 191,            0.030377,            0.016523,           0.0020852,             0.92849,             0.89192,              0.9044,             0.40036,            0.044063,            0.021507,           0.0027798,             0.00373,             0.00373,             0.00373
                 192,            0.029291,            0.016728,           0.0021246,             0.92376,             0.89541,             0.90186,             0.40249,            0.044135,            0.021683,           0.0024326,            0.003697,            0.003697,            0.003697
                 193,            0.030963,            0.016404,           0.0024645,             0.94431,              0.8688,             0.90053,              0.4106,            0.043719,            0.021797,           0.0034653,            0.003664,            0.003664,            0.003664
                 194,            0.030683,            0.016399,           0.0025274,             0.94343,             0.86842,             0.90897,             0.39178,            0.045065,            0.022064,           0.0034096,            0.003631,            0.003631,            0.003631
                 195,            0.030791,             0.01743,           0.0023744,             0.88966,             0.84247,             0.85338,              0.3771,            0.045106,            0.022362,           0.0034904,            0.003598,            0.003598,            0.003598
                 196,            0.030089,            0.016232,           0.0023297,             0.89564,             0.87707,             0.88557,             0.40935,            0.043661,            0.021889,           0.0034172,            0.003565,            0.003565,            0.003565
                 197,            0.029606,            0.016653,           0.0027403,             0.92131,             0.86665,             0.89218,             0.41859,            0.043392,            0.021774,           0.0032028,            0.003532,            0.003532,            0.003532
                 198,            0.030392,            0.016754,           0.0022691,             0.88015,             0.88305,             0.88293,              0.4064,            0.043665,            0.021584,           0.0026638,            0.003499,            0.003499,            0.003499
                 199,            0.030885,            0.017299,           0.0019736,              0.9198,             0.87111,             0.90894,             0.40451,            0.044053,            0.021503,           0.0025837,            0.003466,            0.003466,            0.003466
                 200,            0.029065,            0.016725,           0.0020135,             0.91504,             0.86152,             0.89379,             0.39065,            0.043964,            0.021763,           0.0025677,            0.003433,            0.003433,            0.003433
                 201,            0.030242,            0.017335,           0.0020772,             0.91139,              0.8498,               0.888,             0.38799,            0.044825,            0.022041,           0.0023155,              0.0034,              0.0034,              0.0034
                 202,            0.029791,             0.01616,               0.002,             0.93242,             0.85904,             0.88941,             0.40803,             0.04396,            0.021812,           0.0019085,            0.003367,            0.003367,            0.003367
                 203,            0.030224,            0.017537,            0.002298,             0.92073,             0.85131,             0.88596,             0.42066,            0.043611,            0.021858,           0.0016802,            0.003334,            0.003334,            0.003334
                 204,             0.02972,            0.015818,            0.002073,             0.93268,             0.84958,             0.87367,             0.40598,            0.043246,             0.02198,           0.0026535,            0.003301,            0.003301,            0.003301
                 205,            0.029628,            0.016672,           0.0019432,             0.91014,             0.84104,             0.86207,              0.4092,            0.043404,            0.021637,           0.0029991,            0.003268,            0.003268,            0.003268
                 206,            0.029524,            0.016595,           0.0018139,             0.90376,             0.86646,             0.88691,             0.40136,             0.04484,            0.021637,           0.0027164,            0.003235,            0.003235,            0.003235
                 207,            0.029812,            0.016567,           0.0022148,             0.91376,             0.82771,             0.86997,             0.41685,            0.043825,             0.02219,           0.0029289,            0.003202,            0.003202,            0.003202
                 208,            0.030243,            0.017611,             0.00227,             0.90858,             0.84328,             0.85988,             0.40193,            0.043998,            0.022224,           0.0028461,            0.003169,            0.003169,            0.003169
                 209,            0.030168,            0.015934,           0.0019041,             0.92948,             0.84362,             0.88567,             0.40977,            0.043902,            0.022255,           0.0031723,            0.003136,            0.003136,            0.003136
                 210,            0.029279,            0.016058,           0.0020066,             0.93131,              0.8385,             0.88754,             0.42082,            0.044179,            0.022476,           0.0034348,            0.003103,            0.003103,            0.003103
                 211,            0.028657,            0.016658,           0.0019035,              0.9117,             0.84562,             0.87632,             0.41065,            0.044367,             0.02248,           0.0032707,             0.00307,             0.00307,             0.00307
                 212,            0.029192,             0.01618,           0.0021935,             0.91462,             0.86003,             0.89405,             0.40041,             0.04449,            0.022331,           0.0030159,            0.003037,            0.003037,            0.003037
                 213,            0.029197,            0.016164,           0.0020159,              0.9341,             0.87006,             0.88666,             0.39951,            0.044036,            0.022346,           0.0028389,            0.003004,            0.003004,            0.003004
                 214,            0.028719,            0.015579,           0.0020962,             0.92376,             0.90058,             0.90725,             0.41375,            0.043515,            0.021858,           0.0023315,            0.002971,            0.002971,            0.002971
                 215,            0.029786,            0.016695,           0.0022015,             0.90884,             0.89222,             0.91006,             0.40172,            0.043741,            0.021988,           0.0018299,            0.002938,            0.002938,            0.002938
                 216,            0.028562,             0.01583,           0.0021907,             0.89503,             0.90328,             0.90263,             0.39568,            0.044078,            0.022118,           0.0020035,            0.002905,            0.002905,            0.002905
                 217,            0.028139,             0.01541,           0.0019307,             0.91108,             0.86476,             0.89134,             0.39735,            0.043489,            0.021965,           0.0017376,            0.002872,            0.002872,            0.002872
                 218,            0.029627,            0.016503,           0.0021849,             0.89784,             0.88693,             0.90254,             0.40996,            0.043396,            0.022011,           0.0019527,            0.002839,            0.002839,            0.002839
                 219,            0.028263,            0.016277,           0.0018823,             0.89831,              0.8862,             0.90171,             0.40173,            0.043418,            0.022125,           0.0020193,            0.002806,            0.002806,            0.002806
                 220,            0.027823,            0.016899,           0.0020972,             0.87391,             0.89052,             0.88786,             0.40464,            0.043355,            0.022514,           0.0022835,            0.002773,            0.002773,            0.002773
                 221,            0.028433,            0.016046,            0.001863,             0.92268,             0.84474,              0.8807,             0.40709,            0.043062,            0.022049,           0.0020111,             0.00274,             0.00274,             0.00274
                 222,            0.028483,            0.016356,           0.0021501,             0.91336,             0.85829,             0.89294,             0.40596,            0.043074,            0.022072,            0.002496,            0.002707,            0.002707,            0.002707
                 223,            0.028088,             0.01573,           0.0022034,             0.90642,             0.86005,             0.88171,             0.40501,            0.043057,            0.022083,           0.0024616,            0.002674,            0.002674,            0.002674
                 224,            0.028552,            0.016531,           0.0020662,              0.9169,             0.90833,             0.91441,             0.40021,            0.043307,            0.021973,           0.0023598,            0.002641,            0.002641,            0.002641
                 225,            0.027762,            0.015995,           0.0020041,             0.92256,             0.90726,             0.90305,             0.39531,            0.043479,            0.022255,           0.0023529,            0.002608,            0.002608,            0.002608
                 226,            0.028279,            0.016873,           0.0019497,             0.86834,             0.87647,             0.87374,             0.39376,            0.044164,            0.022205,           0.0018162,            0.002575,            0.002575,            0.002575
                 227,            0.028016,            0.016668,           0.0022834,             0.93965,             0.89439,             0.89795,             0.40348,            0.043159,            0.021919,           0.0018534,            0.002542,            0.002542,            0.002542
                 228,            0.027351,            0.015701,           0.0018584,             0.91656,             0.89788,              0.9004,             0.40941,            0.043246,            0.021511,           0.0018377,            0.002509,            0.002509,            0.002509
                 229,            0.028592,            0.016865,           0.0021993,             0.90692,             0.89272,             0.90172,             0.41256,            0.043419,            0.021664,           0.0017294,            0.002476,            0.002476,            0.002476
                 230,            0.028247,            0.015443,           0.0021529,             0.90637,             0.88058,             0.88721,             0.40578,            0.043659,            0.021618,           0.0019836,            0.002443,            0.002443,            0.002443
